City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,illizi,26.4833,8.4667,302.04,6,0,3.75,DZ,1711791103
295,luis correia,-2.8792,-41.6669,299.24,89,99,2.52,BR,1711791103
296,zaozersk,69.4005,32.4476,268.83,88,98,0.66,RU,1711791103
297,bonnyville,54.2668,-110.735,262.04,96,15,0.54,CA,1711791103
298,rio grande,-32.035,-52.0986,292.97,86,0,3.47,BR,1711790823
299,steinbach,50.1667,8.5667,286.28,82,0,3.09,DE,1711791103
300,cascais,38.6979,-9.4215,284.68,90,75,9.39,PT,1711790823
301,ciudad sabinas hidalgo,26.5,-100.1667,290.83,88,7,1.49,MX,1711791104
302,vorkuta,67.5,64.0,260.08,92,100,5.94,RU,1711791104
303,kalaleh,37.3807,55.4916,297.93,44,0,0.0,IR,1711791104
304,nagqu,31.5,92.0,281.57,9,100,7.76,CN,1711791104
305,kedrovyy,56.1667,91.8167,280.39,77,86,3.96,RU,1711791104
306,nanga eboko,4.6833,12.3667,299.34,75,94,0.75,CM,1711791104
307,kiruna,67.8557,20.2251,267.66,86,100,3.6,SE,1711791105
308,tegueste,28.5167,-16.3167,291.28,71,40,7.2,ES,1711791105
309,qamdo,31.1667,97.2333,280.78,23,44,6.73,CN,1711791105
310,bayganin,48.6947,55.8742,278.41,42,13,1.16,KZ,1711791105
311,dzilam gonzalez,21.2833,-88.9333,290.15,80,0,2.09,MX,1711791105
312,labrador city,52.9463,-66.9114,271.1,96,100,6.69,CA,1711791012
313,rongelap,11.1635,166.8941,300.23,76,79,8.79,MH,1711791105
314,magadan,59.5667,150.8,270.35,81,100,1.79,RU,1711790882
315,veraval,20.9,70.3667,302.34,55,0,8.44,IN,1711791106
316,pasni,25.2631,63.471,300.21,52,2,6.64,PK,1711791106
317,karyes,37.3,22.5,290.96,29,0,2.06,GR,1711791106
318,kavaratti,10.5669,72.642,301.52,75,23,1.29,IN,1711791106
319,waupaca,44.358,-89.086,275.67,81,100,1.54,US,1711791106
320,vega de alatorre,20.0333,-96.6333,293.82,83,9,2.09,MX,1711791106
321,cabo san lucas,22.8909,-109.9124,292.46,76,14,2.68,MX,1711790870
322,corinto,37.9407,22.9573,296.33,36,0,1.17,GR,1711790645
323,sinabang,2.4803,96.3801,302.32,70,100,1.42,ID,1711791107
324,maine soroa,13.2114,12.0241,312.11,8,54,6.82,NE,1711791107
325,huntsville,34.7304,-86.5861,287.19,61,0,2.06,US,1711790885
326,bechar,31.6167,-2.2167,290.33,34,3,1.03,DZ,1711791107
327,ambodifotatra,-16.9833,49.85,301.18,83,75,5.14,MG,1711791107
328,nova vicosa,-17.8919,-39.3719,298.93,89,87,1.49,BR,1711791107
329,at-bashi,41.1702,75.8106,277.61,87,100,3.01,KG,1711791107
330,port hedland,-20.3167,118.5667,305.18,62,0,6.17,AU,1711791107
331,port-gentil,-0.7193,8.7815,301.81,77,100,4.12,GA,1711791108
332,atuncolla,-15.6833,-70.15,278.22,86,71,0.44,PE,1711791108
333,galle,6.0367,80.217,303.03,66,79,4.23,LK,1711791108
334,mena,51.5217,32.2157,288.15,52,100,6.25,UA,1711791108
335,aroma,15.8167,36.1333,309.52,19,29,4.73,SD,1711791108
336,araguaina,-7.1911,-48.2072,295.89,98,100,1.83,BR,1711791108
337,pandan,14.0453,124.1694,298.86,76,22,3.91,PH,1711791108
338,rawson,-43.3002,-65.1023,284.56,36,16,10.04,AR,1711791109
339,birao,10.2849,22.7882,313.16,5,34,5.53,CF,1711791109
340,east wenatchee,47.4157,-120.2931,279.56,79,0,4.63,US,1711791109
341,marat,25.0701,45.4615,298.41,20,87,8.91,SA,1711791109
342,caleta de carquin,-11.0925,-77.6267,294.94,91,86,2.69,PE,1711791109
343,afsin,38.2477,36.914,290.87,33,3,2.15,TR,1711791109
344,sona,45.4388,10.8255,290.29,66,75,6.17,IT,1711791109
345,waingapu,-9.6567,120.2641,301.01,80,56,2.4,ID,1711791110
346,kone,-21.0595,164.8658,295.54,75,28,1.95,NC,1711791110
347,oltinko'l,40.8011,72.1634,288.26,40,100,2.72,UZ,1711791110
348,tsiombe,-25.3,45.4833,302.84,58,8,5.61,MG,1711791110
349,susuman,62.7833,148.1667,268.14,86,100,4.02,RU,1711791110
350,talnakh,69.4865,88.3972,266.04,90,100,6.82,RU,1711791110
351,nuku'alofa,-21.1333,-175.2,297.34,100,75,1.03,TO,1711791110
352,guerrero negro,27.9769,-114.0611,287.81,76,94,2.35,MX,1711790948
353,las khorey,11.1595,48.1967,303.34,61,66,4.46,SO,1711791111
354,trinidad,-14.8333,-64.9,295.85,97,100,1.15,BO,1711791049
355,taroa,8.7058,171.2275,300.74,84,100,8.7,MH,1711791111
356,mednogorsk,51.4128,57.595,273.12,83,55,3.42,RU,1711791111
357,ulanhot,46.0833,122.0833,273.43,34,55,8.71,CN,1711791043
358,nirmali,26.3167,86.5833,309.77,24,7,2.41,IN,1711791111
359,tongliao,43.6125,122.2653,276.31,23,3,5.76,CN,1711791111
360,salinopolis,-0.6136,-47.3561,298.18,91,100,1.92,BR,1711791111
361,ta`u,-14.2336,-169.5144,302.33,74,73,2.92,AS,1711791112
